question,label
야 먼지 알려주겠니,dust
아니 먼지 정보 알려주세요,dust
그 때 미세먼지 어떨까,dust
그 때 먼지 좋으려나,dust
미세먼지 어떨 것 같은데,dust
그러면 미세먼지 어때,dust
미세먼지 말해줄래,dust
먼지 미세먼지,dust
참 먼지 많이 꼈나,dust
참 먼지 어떠냐,dust
야 미세먼지 어때,dust
토요일 먼지 알려줘,dust
헐 먼지 어떠려나,dust
전주 미세먼지 어떤지 말해줘,dust
미세먼지 궁금해서 물어봤어,dust
아 그러면 먼지 알려주세요,dust
아 맞다 먼지 어떠려나,dust
저기 현재 먼지 어떠려나,dust
토요일 먼지 알려주겠니,dust
먼지 궁금해,dust
지금 먼지 어떤데,dust
저기 미세먼지 어떨까,dust
먼지 완전 문젠데,dust
세종 먼지 한 번 알려줘,dust
모레 먼지 궁금해,dust
먼지 궁금해요,dust
미세먼지 어떨까,dust
지금 미세먼지 어떨까 심해지네,dust
현재 미세먼지 어떨까,dust
공기 미세먼지 좀 알려줄래,dust
미세먼지 먼지,dust
미세먼지 좀 먼지,dust
월요일 근데 먼지 어떠려나,dust
미세먼지 없니 현재,dust
지금 미세먼지 없니 현재,dust
공기 미세먼지 현재,dust
공기상태 알려줘,dust
아 먼지 심하네,dust
어떤데 먼지,dust
먼지 알려줬으면 졸겠어,dust
미세먼지 없나 하,dust
지금 먼지 많네,dust
월요일 여행갈건데 먼지 알려줘,dust
먼지 궁금하네,dust
토요일 먼지 심하니,dust
월요일 미세먼지 심할까,dust
먼지 많이 심하려나,dust
알려주세요 먼지,dust
먼지 꼈나,dust
먼지 끼었나,dust
현재 지금 먼지 많니,dust
먼지 알려주세요 궁금해요,dust
미세먼지 혹시라도 심할까,dust
먼지 안 심해야 하는데,dust
나한테 공기상태 알려줘,dust
나 궁금한데 미세먼지 알려줘,dust
여행 갈건데 미세먼지 어때,dust
나 서울 여행 가는데 미세먼지 알려줘,dust
월요일 먼지 깨끗하니,dust
서울 다음 주 먼지 알려줄래요,dust
부안 먼지 어떻게 돼,dust
토요일 서천 미세먼지 어떨까 좀 알려줄수 있니,dust
월요일 공기상태 알려줄수 있어,dust
이번 주 가로수길 미세먼지 알려줄래,dust
구암 다음 주 미세먼지 알려줘,dust
이번 주 영등포 먼지 말해줘,dust
구로 다음 주 미세먼지 알려줄래,dust
일산 미세먼지 어떨까 어떻게 돼요,dust
토요일 안암 미세먼지 어떨까 좀 알려줄수 있니,dust
월요일 미세먼지 알려줄 수 있어,dust
이번 주 홍대 미세먼지 알려줄래,dust
남구 다음 주 미세먼지 알려줘,dust
이번 주 보령 먼지 줘,dust
공기 미세먼지,dust
공기 먼지 심하니,dust
현재 미세먼지 많이 없니,dust
먼지 많이 없니,dust
공기 많이 깨끗하지,dust
여행 가는데 먼지 많이 심할까,dust
알려줘 공기상태 미세먼지 궁금해,dust
월요일 마스크 챙길까,dust
마스크 써야하나,dust
이번 주 먼지 많이 없니,dust
월요일 먼지 심하겠지,dust
헉 혹시 먼지 심할까,dust
먼지 심하니,dust
월요일 미세먼지 어떨까 나쁠까,dust
먼지 심하겠지 글쎄,dust
먼지 심해지려나,dust
토요일 먼지 심하니,dust
