question,label
날씨 알려주겠니,O O
날씨 정보 알려주세요,O O O
그 때 기온 어떨까,O O O O
그 때 기온 좋으려나,O O O O
기온 어떨 것 같은데,O O O O
기온 어때,O O
기온 말해줄래,O O
기온 어떠니,O O
구름 많이 꼈나,O O O
기온 어떠냐,O O
야 기온 어때,O O O
아하 과천 날씨 맑을까,O S-LOCATION O O
아하 증평 날씨 덥냐,O S-LOCATION O O
아하 양구 날씨 흐리냐,O S-LOCATION O O
아하 상주 우산 써야 할까,O S-LOCATION O O O
아하 계룡 날씨 흐리냐,O S-LOCATION O O
아하 거제 날씨 덥냐,O S-LOCATION O O
아하 제주 맑니,O S-LOCATION O
아하 영월 덥냐,O S-LOCATION O
아하 구례 날씨 맑니,O S-LOCATION O O
아하 나주 우산 챙겨야해,O S-LOCATION O O
아하 동두천 덥냐,O S-LOCATION O
아하 진도 날씨 추울까,O S-LOCATION O O
아하 양주 덥냐,O S-LOCATION O
아하 상주 비오냐,O S-LOCATION O
그럼 고양 덥냐,O S-LOCATION O
아하 오산 날씨 더울까,O S-LOCATION O O
아하 남원 날씨 더울까,O S-LOCATION O O
아하 거제 우산 필요하니,O S-LOCATION O O
아하 철원 흐리냐,O S-LOCATION O
동작구 눈 올지 알려줄 수 있니,S-LOCATION O O O O O
서대문구 눈 올지 알려줄 수 있니,S-LOCATION O O O O O
종로구 눈 올지 알아봐줘,S-LOCATION O O O
노원구 비 올지 알아봐줘,S-LOCATION O O O
강북구 비 오는지 알려주라,S-LOCATION O O O
도봉구 비 오는지 말해 줘봐,S-LOCATION O O O O
용산구 눈 올지 알려줘,S-LOCATION O O O
강남구 날씨 알려주세요,S-LOCATION O O
광진구 비 올지 말해 줘,S-LOCATION O O O O
은평구 비 올지 알려줄 수 있니,S-LOCATION O O O O O
강서구 날씨 말해 줘주라,S-LOCATION O O O
서대문구 눈 오는지 말해 줘,S-LOCATION O O O O
동대문구 눈 올지 말해 줘주세요,S-LOCATION O O O O
중랑구 비 올지 부탁 해,S-LOCATION O O O O
영등포구 눈 올지 알려줄 수 있니,S-LOCATION O O O O O
금천구 비 올지 알려줄래,S-LOCATION O O O
강서구 날씨 말해 줘봐,S-LOCATION O O O
강북구 눈 올지 말해 줘,S-LOCATION O O O O
금천구 비 오는지 말해 줘봐,S-LOCATION O O O O
서초구 날씨 말해 줘주세요,S-LOCATION O O O
강남구 눈 올지 알려주세요,S-LOCATION O O O
강동구 날씨 말해 줘,S-LOCATION O O O
강북구 눈 오는지 말해 줘주세요,S-LOCATION O O O O
용산구 눈 올지 말해 줘,S-LOCATION O O O O
